Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Turkey,2004,9.795936382,9.101755567,0.61,69.79489764851547,0.06701093,2.7100653690563603,0.78535,1.384733924,64,0.0065911431513903185,5.0,927,11
Turkey,1988,2.320736794,6.403608397,0.333,54.731099485436296,0.052053765,4.480439197607507,0.78535,1.84745475,41,0.005218940936863543,3.0,742,2
Mexico,1992,3.541102416,8.104291077,0.706,174.83744395162572,0.087075138,6.0111740351382,1.96438,1.810739862,102,0.011666476037973236,2.0,826,1
Mexico,2012,3.642322679,9.690869065000001,1.14,91.90674195708569,0.117274155,3.7634459723473057,1.96438,1.355289252,83,0.008496263691268298,3.0,962,7
Mexico,2000,4.942453715,9.253968046,0.915,131.96405902691959,0.098899845,4.759387328739387,1.96438,1.441087472,78,0.007934893184130213,1.0,925,6
Mexico,1996,6.773258694,8.109198698,0.755,127.45204241638004,0.093147044,4.9405869073103235,1.96438,1.605744537,98,0.010252118422429124,1.0,841,1
Mexico,2008,1.143584587,9.587636339000001,1.06,95.25672151318578,0.110815271,3.9973366905372414,1.96438,1.495369111,83,0.00825213760190893,4.0,963,3
Mexico,2016,2.630532425,10.183033069999999,1.26,93.57311575942181,0.123333376,3.4856549709228646,1.964375,1.203251329,123,0.011857707509881422,7.0,973,5
Mexico,2004,3.92059081,9.190741592,0.961,109.95556826266126,0.104514932,4.22680744413606,1.96438,1.381467019,109,0.011225540679711637,6.0,927,4
Mexico,1988,1.283260997,7.393108281,0.597,98.12152069911552,0.080788721,6.953751612260453,1.96438,1.986004265,83,0.010565173116089613,6.0,742,2
Chile,1992,11.16670773,6.8797794890000015,0.094389329346,23.375055352921834,0.013719819,0.9471385476253364,0.756096,1.650306531,12,0.0013725265927027337,1.0,826,0
Chile,2012,5.318628,14.03567913,0.244,19.671267576779737,0.017400347,0.5583946934820849,0.756096,0.963057457,35,0.003582761797522776,1.0,962,0
Chile,2000,5.326938419,9.41998295,0.145,20.91233722284518,0.015342353,0.7383247209461927,0.756096,1.177211428,34,0.003458799593082401,0.0,925,1
Chile,1996,6.802916596,8.427821896,0.123,20.763710221476483,0.01458737,0.7737247060045338,0.756096,1.4257512819999998,21,0.002196882519091955,0.0,841,0
Chile,2008,3.5295305530000003,12.55379484,0.21,18.87161463940473,0.016708258,0.6027015242182857,0.756096,1.071437972,26,0.0025850069596341217,3.0,963,1
Chile,2016,1.711089289,14.77714884,0.269,19.977117570860692,0.018209068,0.5146257278327682,0.7567,1.325201606,42,0.004048973296057071,0.0,973,0
Chile,2004,7.209539708999999,10.726644850000001,0.172,19.679872779581405,0.016014971,0.6476796888737689,0.756096,1.0376428009999998,22,0.0022657054582904228,1.0,927,3
Chile,1988,7.345110455,5.397026413000002,0.069339419416,11.396464451409877,0.012847708,1.105844592079277,0.756096,1.606773859,17,0.002163951120162933,0.0,742,1
Nicaragua,1992,0.386346619,1.0792058,0.004710206663,1.1664596224402783,0.004364512,0.3013011729071172,0.13037,2.24622747,8,0.000915017728468489,0.0,826,0
Nicaragua,2012,6.496747299,1.657638814,0.009916867304,0.7994973371327965,0.005982526,0.19198529615637,0.13037,1.337558375,6,0.0006141877367181902,0.0,962,0
